guid,Country,Country:xx,"Country info","Country info:xx",Capital,Capital:xx,"Capital info","Capital info:xx","Capital hint","Capital hint:xx",Flag,"Flag similarity","Flag similarity:xx",Map,tags
b^_Av:%|%E,Guatemala,,,,"Guatemala City",,,,,,"<img src=""ug-flag-guatemala.png"" />",,,"<img src=""ug-map-guatemala.png"" />","UG::North_America UG::Sovereign_State"
rGPlNG/dw%,Honduras,,,,Tegucigalpa,,,,,,"<img src=""ug-flag-honduras.svg"" />",,,"<img src=""ug-map-honduras.png"" />","UG::North_America UG::Sovereign_State"
oz4yuR}6W$,Nicaragua,,,,Managua,,,,,,"<img src=""ug-flag-nicaragua-blur.svg"" /><img src=""ug-flag-nicaragua.svg"" />","El Salvador (different coat of arms, slightly darker blue)",,"<img src=""ug-map-nicaragua.png"" />","UG::North_America UG::Sovereign_State"
t1/=+}2*3>,Panama,,,,"Panama City",,,,,,"<img src=""ug-flag-panama.svg"" />",,,"<img src=""ug-map-panama.png"" />","UG::North_America UG::Sovereign_State"
kb%EK<T(Tt,"Antigua and Barbuda",,,,"St. John's",,,,,,"<img src=""ug-flag-antigua_and_barbuda.svg"" />",,,"<img src=""ug-map-antigua_and_barbuda.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
iK~qWOheLq,Dominica,,,,Roseau,,,,,,"<img src=""ug-flag-dominica.svg"" />",,,"<img src=""ug-map-dominica.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
tMrR6sO|1I,"Saint Vincent and the Grenadines",,,,Kingstown,,,,,,"<img src=""ug-flag-saint_vincent_and_the_grenadines.svg"" />",,,"<img src=""ug-map-saint_vincent_and_the_grenadines.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
asajU<(4|R,Somalia,,,,Mogadishu,,,,,,"<img src=""ug-flag-somalia.svg"" />",,,"<img src=""ug-map-somalia.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"
e1zOyx7^cj,Zanzibar,,"Semi-autonomous region of Tanzania.",,,,,,,,,,,"<img src=""ug-map-zanzibar.png"" />",UG::Africa
e9ss7Fgu&7,Ghana,,,,Accra,,,,,,"<img src=""ug-flag-ghana.svg"" />","Bolivia (coat of arms instead of star)",,"<img src=""ug-map-ghana.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"
pEm(WFjeNI,Guinea,,,,Conakry,,,,,,"<img src=""ug-flag-guinea.svg"" />","Mali (red and green flipped, slightly brighter green)",,"<img src=""ug-map-guinea.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"
i|{O!q|&(,"New Zealand",,,,Wellington,,,,,,"<img src=""ug-flag-new_zealand.svg"" />","Australia (white stars, two more stars)",,"<img src=""ug-map-new_zealand.png"" />","UG::Oceania UG::Sovereign_State"
"j,B{#x5qDF","French Polynesia",,"Overseas territory of France.",,Papeete,,,,,,"<img src=""ug-flag-french_polynesia.svg"" />",,,"<img src=""ug-map-french_polynesia.png"" />",UG::Oceania
o9ivN6iIr!,Philippines,,,,Manila,,,,,,"<img src=""ug-flag-philippines.svg"" />",,,"<img src=""ug-map-philippines.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
jUJSQU2P%2,Kosovo,,"Partially recognised state claimed by Serbia.",,Pristina,,,,,,"<img src=""ug-flag-kosovo.svg"" />",,,"<img src=""ug-map-kosovo.png"" />","UG::Europe UG::Sovereign_State"
h3-{dj)G!E,Libya,,,,Tripoli,,,,,,"<img src=""ug-flag-libya.svg"" />",,,"<img src=""ug-map-libya.png"" />","UG::Africa UG::Mediterranean UG::Sovereign_State"
pB$g~KqI~-,Palau,,,,Ngerulmud,,,,,,"<img src=""ug-flag-palau.svg"" />",,,"<img src=""ug-map-palau.png"" />","UG::Oceania UG::Sovereign_State"
jQPANR0Yq9,"Saint Lucia",,,,Castries,,,,,,"<img src=""ug-flag-saint_lucia.svg"" />",,,"<img src=""ug-map-saint_lucia.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
",LnVW8IL`",Bali,,"Island of Indonesia.",,,,,,,,,,,"<img src=""ug-map-bali.png"" />",UG::Asia
"dq,.Htg]>L",Grenada,,,,"St. George's",,,,,,"<img src=""ug-flag-grenada.svg"" />",,,"<img src=""ug-map-grenada.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
oDGbPPlkzc,"British Virgin Islands",,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-british_virgin_islands.png"" />","UG::Caribbean UG::North_America"
ogLVp1-2mC,"Turks and Caicos Islands",,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-turks_and_caicos_islands.png"" />","UG::Caribbean UG::North_America"
t8K|Gnw[k$,"Cayman Islands",,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-cayman_islands.png"" />","UG::Caribbean UG::North_America"
cy]sz097{A,Anguilla,,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-anguilla.png"" />","UG::Caribbean UG::North_America"
"hz,n^64X%i",Azores,,"Autonomous region of Portugal.",,,,,,,,,,,"<img src=""ug-map-azores.png"" />",UG::Europe
mMdbj-!g%k,Curaçao,,"Constituent country of the Kingdom of the Netherlands.",,Willemstad,,,,,,"<img src=""ug-flag-curacao.svg"" />","Nauru (single star below yellow band)",,"<img src=""ug-map-curacao.png"" />","UG::Caribbean UG::North_America"
~F>Y6gVJay,"French Guiana",,"Overseas department of France.",,,,,,,,,,,"<img src=""ug-map-french_guiana.png"" />",UG::South_America
mHDrx]xo!x,Gibraltar,,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-gibraltar.png"" />","UG::Europe UG::Mediterranean"
n#k%mr&bc-,Guernsey,,"Crown dependency of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-guernsey.png"" />",UG::Europe
"a_~PL,CWhU","Isle of Man",,"Crown dependency of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-isle_of_man.png"" />",UG::Europe
kq:]$sh13[,Jersey,,"Crown dependency of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-jersey.png"" />",UG::Europe
q{72>nP`an,Kiribati,,,,Tarawa,,,,,,"<img src=""ug-flag-kiribati.svg"" />",,,"<img src=""ug-map-kiribati.png"" />","UG::Oceania UG::Sovereign_State"
k2lcDMRBT~,Macau,,"Special Administrative Region of China.",,,,,,,,"<img src=""ug-flag-macau.svg"" />",,,"<img src=""ug-map-macau.png"" />",UG::Asia
fKTU=+DKl],Madeira,,"Autonomous region of Portugal.",,,,,,,,,,,"<img src=""ug-map-madeira.png"" />",UG::Europe
c]uN7LyVsp,"Marshall Islands",,,,Majuro,,,,,,"<img src=""ug-flag-marshall_islands.svg"" />",,,"<img src=""ug-map-marshall_islands.png"" />","UG::Oceania UG::Sovereign_State"
t)z=hAWb]&,Nauru,,,,Yaren,,"Nauru has no official capital; the Yaren District is the de facto capital.",,,,"<img src=""ug-flag-nauru.svg"" />","Curaçao (two stars in top-left corner)",,"<img src=""ug-map-nauru.png"" />","UG::Oceania UG::Sovereign_State"
