country,capital,capital:de,capital:es,capital:fr,capital:nb
Mauritania,Nouakchott,Nouakchott,Nuakchot,Nouakchott,Nouakchott
Mauritius,Port Louis,Port Louis,Port Louis,Port-Louis,Port Louis
Mexico,Mexico City,Mexiko-Stadt,Ciudad de México,Mexico,Mexico by
Moldova,Chișinău,Chișinău,Chisináu,Chișinău,Chisinau
Monaco,Monaco,Monaco,Mónaco,Monaco,Monaco
Mongolia,Ulaanbaatar,Ulaanbaatar,Ulán Bator,Oulan-Bator,Ulaanbaatar
Montenegro,Podgorica,Podgorica,"Podgorica, Cetiña",Podgorica,Podgorica
Morocco,Rabat,Rabat,Rabat,Rabat,Rabat
Mozambique,Maputo,Maputo,Maputo,Maputo,Maputo
Myanmar,Naypyidaw,Naypyidaw,Naipyidó,Naypyidaw,Naypyidaw
Namibia,Windhoek,Windhoek,Windhoek,Windhoek,Windhoek
Nauru,Yaren,Yaren,Yaren,Yaren,Yaren
Nepal,Kathmandu,Kathmandu,Katmandú,Katmandou,Katmandu
Netherlands,Amsterdam,Amsterdam,Ámsterdam,Amsterdam,Amsterdam
New Caledonia,Nouméa,Nouméa,Numea,Nouméa,Nouméa
New Zealand,Wellington,Wellington,Wellington,Wellington,Wellington
Nicaragua,Managua,Managua,Managua,Managua,Managua
Niger,Niamey,Niamey,Niamey,Niamey,Niamey
Nigeria,Abuja,Abuja,Abuya,Abuja,Abuja
Niue,Alofi,Alofi,Alofi,Alofi,Alofi
North Korea,Pyongyang,Pjöngjang,Pionyang,Pyongyang,Pyongyang
North Macedonia,Skopje,Skopje,Skopie,Skopje,Skopje
Northern Cyprus,North Nicosia,Nord-Nikosia,Nicosia del Norte,Nicosie-Nord,Nord-Nikosia
Northern Ireland,Belfast,Belfast,Belfast,Belfast,Belfast
Norway,Oslo,Oslo,Oslo,Oslo,Oslo
Oman,Muscat,Maskat,Mascate,Mascate,Muscat
Pakistan,Islamabad,Islamabad,Islamabad,Islamabad,Islamabad
Palau,Ngerulmud,Ngerulmud,Ngerulmud,Melekeok,Ngerulmud
Palestine,Ramallah,Ramallah,Ramala,Ramallah,Ramallah
Panama,Panama City,Panama-Stadt,Ciudad de Panamá,Panama,Panama by
Papua New Guinea,Port Moresby,Port Moresby,Puerto Moresby,Port Moresby,Port Moresby
Paraguay,Asunción,Asunción,Asunción,Asuncion,Asunción
Peru,Lima,Lima,Lima,Lima,Lima
Philippines,Manila,Manila,Manila,Manille,Manila
Poland,Warsaw,Warschau,Varsovia,Varsovie,Warszawa
Portugal,Lisbon,Lissabon,Lisboa,Lisbonne,Lisboa
Puerto Rico,San Juan,San Juan,San Juan,San Juan,San Juan
Qatar,Doha,Doha,Doha,Doha,Doha
Republic of Artsakh,Stepanakert,Stepanakert,Stepanakert,Stepanakert,Stepanakert
Republic of the Congo,Brazzaville,Brazzaville,Brazzaville,Brazzaville,Brazzaville
Romania,Bucharest,Bukarest,Bucarest,Bucarest,Bucuresti
Russia,Moscow,Moskau,Moscú,Moscou,Moskva
Rwanda,Kigali,Kigali,Kigali,Kigali,Kigali
Sahrawi Arab Democratic Republic,Laayoune,El Aaiún,El Aaiún,Laâyoune,El Aaiún
Saint Kitts and Nevis,Basseterre,Basseterre,Basseterre,Basseterre,Basseterre
Saint Lucia,Castries,Castries,Castries,Castries,Castries
Saint Vincent and the Grenadines,Kingstown,Kingstown,Kingstown,Kingstown,Kingstown
Samoa,Apia,Apia,Apia,Apia,Apia
San Marino,City of San Marino,Stadt San Marino,San Marino,Ville de Saint-Marin,San Marino by
Saudi Arabia,Riyadh,Riad,Riad,Riyad,Riyadh
Scotland,Edinburgh,Edinburgh,Edimburgo,Édimbourg,Edinburgh
Senegal,Dakar,Dakar,Dakar,Dakar,Dakar
Serbia,Belgrade,Belgrad,Belgrado,Belgrade,Beograd
Seychelles,Victoria,Victoria,Victoria,Victoria,Victoria
Sierra Leone,Freetown,Freetown,Freetown,Freetown,Freetown
Singapore,Singapore,Singapur,Singapur,Singapour,Singapore
Slovakia,Bratislava,Bratislava,Bratislava,Bratislava,Bratislava
Slovenia,Ljubljana,Ljubljana,Liubliana,Ljubljana,Ljubljana
Solomon Islands,Honiara,Honiara,Honiara,Honiara,Honiara
Somalia,Mogadishu,Mogadischu,Mogadiscio,Mogadiscio,Mogadishu
Somaliland,Hargeisa,Hargeysa,Hargeisa,Hargeisa,Hargeisa
South Africa,"Pretoria, Cape Town, Bloemfontein","Pretoria, Kapstadt, Bloemfontein","Pretoria, Ciudad del Cabo, Bloemfontein","Pretoria, Le Cap, Bloemfontein","Pretoria, Cape Town, Bloemfontein"
South Korea,Seoul,Seoul,Seúl,Séoul,Seoul
South Ossetia,Tskhinvali,Zchinwali,Tsjinval,Tskhinvali,Tskhinvali
South Sudan,Juba,Juba,Yuba,Djouba,Juba
Spain,Madrid,Madrid,Madrid,Madrid,Madrid
Sri Lanka,Sri Jayawardenepura Kotte,Sri Jayewardenepura Kotte,Sri Jayawardenapura Kotte,Sri Jayawardenapura Kotte,Colombo
Sudan,Khartoum,Khartum,Jartum,Khartoum,Khartoum
Suriname,Paramaribo,Paramaribo,Paramaribo,Paramaribo,Paramaribo
Sweden,Stockholm,Stockholm,Estocolmo,Stockholm,Stockholm
Switzerland,Bern,Bern,Berna,Berne,Bern
Syria,Damascus,Damaskus,Damasco,Damas,Damaskus
São Tomé and Príncipe,São Tomé,São Tomé,Santo Tomé,São Tomé,São Tomé
Taiwan,Taipei,Taipeh,Taipéi,Taipei,Taipei
Tajikistan,Dushanbe,Duschanbe,Dusambé,Douchanbé,Dusjanbe
Tanzania,Dodoma,Dodoma,Dodoma,Dodoma,Dodoma
Thailand,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok
The Bahamas,Nassau,Nassau,Nasáu,Nassau,Nassau
The Gambia,Banjul,Banjul,Banjul,Banjul,Banjul
Togo,Lomé,Lomé,Lomé,Lomé,Lomé
Tonga,Nukuʻalofa,Nukuʻalofa,Nukualofa,Nukuʻalofa,Nukualofa
Transnistria,Tiraspol,Tiraspol,Tiráspol,Tiraspol,Tiraspol
Trinidad and Tobago,Port of Spain,Port of Spain,Puerto España,Port-d'Espagne,Port of Spain
Tunisia,Tunis,Tunis,Túnez,Tunis,Tunis
Turkey,Ankara,Ankara,Ankara,Ankara,Ankara
Turkmenistan,Ashgabat,Aşgabat,Asjabad,Achgabat,Asjkhabad
Tuvalu,Funafuti,Funafuti,Funafuti,Funafuti,Vaiaku/Funafuti
Uganda,Kampala,Kampala,Kampala,Kampala,Kampala
Ukraine,Kiev,Kiew,Kiev,Kiev,Kiev
United Arab Emirates,Abu Dhabi,Abu Dhabi,Abu Dabi,Abou Dabi,Abu Dhabi
United Kingdom,London,London,Londres,Londres,London
United States of America,"Washington, D.C.","Washington, D.C.",Washington D. C.,Washington,"Washington, D.C."
United States Virgin Islands,Charlotte Amalie,Charlotte Amalie,Charlotte Amalie,Charlotte-Amélie,Charlotte Amalie
Uruguay,Montevideo,Montevideo,Montevideo,Montevideo,Montevideo
Uzbekistan,Tashkent,Taschkent,Taskent,Tachkent,Tasjkent
Vanuatu,Port Vila,Port Vila,Port Vila,Port-Vila,Vila
Vatican City,Vatican City,Vatikanstadt,Ciudad del Vaticano,Vatican,Vatikanstaten
Venezuela,Caracas,Caracas,Caracas,Caracas,Caracas
Vietnam,Hanoi,Hanoi,Hanói,Hanoï,Hanoi
Wales,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff
Yemen,Sana'a,Sanaa,Saná,Sanaa,Sana
Zambia,Lusaka,Lusaka,Lusaka,Lusaka,Lusaka
Zimbabwe,Harare,Harare,Harare,Harare,Harare
Åland Islands,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Mariehamn
