country,country:de,country:es,country:fr,country:nb
Bosnia and Herzegovina,Bosnien und Herzegowina,Bosnia y Herzegovina,Bosnie-Herzégovine,Bosnia-Hercegovina
Botswana,Botswana,Botsuana,Botswana,Botswana
Bougainville,Bougainville,Bougainville,Bougainville,Bougainville
Brazil,Brasilien,Brasil,Brésil,Brasil
British Virgin Islands,Britische Jungferninseln,Islas Vírgenes Británicas,Îles Vierges britanniques,De britiske Jomfruøyer
Brunei,Brunei,Brunéi,Brunei,Brunei
Bulgaria,Bulgarien,Bulgaria,Bulgarie,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi,Burundi,Burundi
Cambodia,Kambodscha,Camboya,Cambodge,Kambodsja
Cameroon,Kamerun,Camerún,Cameroun,Kamerun
Canada,Kanada,Canadá,Canada,Canada
Canary Islands,Kanarischen Inseln,Canarias,Îles Canaries,Kanariøyene
Cape Verde,Kap Verde,Cabo Verde,Cap-Vert,Kapp Verde
Caribbean Sea,Karibisches Meer,Mar Caribe,Mer des Caraïbes,Det karibiske hav
Caspian Sea,Kaspisches Meer,Mar Caspio,Mer Caspienne,Det kaspiske hav
Cayman Islands,Cayman Islands (Kaimaninseln),Islas Caimán,Îles Caïmans,Caymanøyene
Celtic Sea,Keltische See,Mar Céltico,Mer Celtique,Det keltiske hav
Central African Republic,Zentralafrikanische Republik,República Centroafricana,République centrafricaine,Den sentralafrikanske republikk
Chad,Tschad,Chad,Tchad,Tsjad
Chile,Chile,Chile,Chili,Chile
China,Volksrepublik China,China,Chine,Kina
Colombia,Kolumbien,Colombia,Colombie,Colombia
Comoros,Komoren,Comoras,Comores,Komorene
Cook Islands,Cookinseln,Islas Cook,Îles Cook,Cookøyene
Coral Sea,Korallenmeer,Mar del Coral,Mer de Corail,Korallhavet
Corsica,Korsika,Córcega,Corse,Korsika
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
Croatia,Kroatien,Croacia,Croatie,Kroatia
Cuba,Kuba,Cuba,Cuba,Cuba
Curaçao,Curaçao,Curazao,Curaçao,Curaçao
Cyprus,Republik Zypern,Chipre,Chypre,Kypros
Czech Republic,Tschechien,República Checa,Tchéquie,Tsjekkia
Dead Sea,Totes Meer,Mar Muerto,Mer Morte,Dødehavet
Democratic Republic of the Congo,Demokratische Republik Kongo,República Democrática del Congo,République démocratique du Congo,Kongo
Denmark,Dänemark,Dinamarca,Danemark,Danmark
Denmark Strait,Dänemarkstraße,Estrecho de Dinamarca,Détroit de Danemark,Danmarkstredet
Djibouti,Dschibuti,Yibuti,Djibouti,Djibouti
Dominica,Dominica,Dominica,Dominique,Dominica
Dominican Republic,Dominikanische Republik,República Dominicana,République dominicaine,Den dominikanske republikk
East Siberian Sea,Ostsibirische See,Mar de Siberia Oriental,Mer de Sibérie orientale,Øst-Sibirhavet
East Timor,Osttimor,Timor Oriental,Timor oriental,Øst-Timor
Ecuador,Ecuador,Ecuador,Équateur,Ecuador
Egypt,Ägypten,Egipto,Égypte,Egypt
El Salvador,El Salvador,El Salvador,Salvador,El Salvador
England,England,Inglaterra,Angleterre,England
English Channel,Ärmelkanal,Canal de la Mancha,Manche,Den engelske kanal
Equatorial Guinea,Äquatorialguinea,Guinea Ecuatorial,Guinée équatoriale,Ekvatorial-Guinea
Eritrea,Eritrea,Eritrea,Érythrée,Eritrea
Estonia,Estland,Estonia,Estonie,Estland
Eswatini,Swasiland,Suazilandia,Eswatini,Eswatini
Ethiopia,Äthiopien,Etiopía,Éthiopie,Etiopia
Europe,Europa,Europa,Europe,Europa
European Union,Europäische Union,Unión Europea,Union européenne,Den europeiske union
Falkland Islands,Falklandinseln,Islas Malvinas,Îles Malouines,Falklandsøyene
Faroe Islands,Färöer,Islas Feroe,Îles Féroé,Færøyene
Federated States of Micronesia,Föderierte Staaten von Mikronesien,Estados Federados de Micronesia,États fédérés de Micronésie,Mikronesiaføderasjonen
Fiji,Fidschi,Fiyi,Fidji,Fiji
Finland,Finnland,Finlandia,Finlande,Finland
France,Frankreich,Francia,France,Frankrike
French Guiana,Französisch-Guayana,Guayana Francesa,Guyane,Fransk Guyana
French Polynesia,Französisch-Polynesien,Polinesia Francesa,Polynésie française,Fransk Polynesia
Gabon,Gabun,Gabón,Gabon,Gabon
Georgia,Georgien,Georgia,Géorgie,Georgia
Germany,Deutschland,Alemania,Allemagne,Tyskland
Ghana,Ghana,Ghana,Ghana,Ghana
Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar
Greece,Griechenland,Grecia,Grèce,Hellas
Greenland,Grönland,Groenlandia,Groenland,Grønland
Grenada,Grenada,Granada,Grenade,Grenada
Guadeloupe,Guadeloupe,Guadalupe,Guadeloupe,Guadeloupe
Guam,Guam,Guam,Guam,Guam
Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
Guernsey,Guernsey,Guernsey,Guernesey,Guernsey
Guinea,Guinea,Guinea,Guinée,Guinea
Guinea-Bissau,Guinea-Bissau,Guinea-Bisáu,Guinée-Bissau,Guinea-Bissau
Gulf of California,Golf von Kalifornien,Golfo de California,Golfe de Californie,Californiabukta
Gulf of Carpentaria,Golf von Carpentaria,Golfo de Carpentaria,Golfe de Carpentarie,Carpentariabukta
Gulf of Mexico,Golf von Mexiko,Golfo de México,Golfe du Mexique,Mexicogolfen
Gulf of Thailand,Golf von Thailand,Golfo de Tailandia,Golfe de Thaïlande,Thailandbukta
Guyana,Guyana,Guyana,Guyana,Guyana
Haiti,Haiti,Haití,Haïti,Haiti
Hawaii,Hawaii,Hawái,Hawaï,Hawaii
Honduras,Honduras,Honduras,Honduras,Honduras
Hong Kong,Hongkong,Hong Kong,Hong Kong,Hongkong
Hudson Bay,Hudson Bay,Bahía de Hudson,Baie d'Hudson,Hudsonbukta
Hungary,Ungarn,Hungría,Hongrie,Ungarn
Iceland,Island,Islandia,Islande,Island
India,Indien,India,Inde,India
Indian Ocean,Indischer Ozean,Océano Índico,Océan Indien,Det indiske hav
Indonesia,Indonesien,Indonesia,Indonésie,Indonesia
Iran,Iran,Irán,Iran,Iran
Iraq,Irak,Irak,Irak,Irak
Ireland,Irland,Irlanda,Irlande,Irland
Isle of Man,Isle of Man,Isla de Man,Île de Man,Man
Israel,Israel,Israel,Israël,Israel
Italy,Italien,Italia,Italie,Italia
Ivory Coast,Elfenbeinküste,Costa de Marfil,Côte d'Ivoire,Elfenbenskysten
Jamaica,Jamaika,Jamaica,Jamaïque,Jamaica
Japan,Japan,Japón,Japon,Japan
Java,Java,Java,Java,Java
Jeju,Jeju-do,Jeju,Jeju,Jeju
Jersey,Jersey,Jersey,Jersey,Jersey
Jordan,Jordanien,Jordania,Jordanie,Jordan
Kaliningrad Oblast,Oblast Kaliningrad,Óblast de Kaliningrado,Oblast de Kaliningrad,Kaliningrad oblast
Kazakhstan,Kasachstan,Kazajistán,Kazakhstan,Kasakhstan
Kenya,Kenia,Kenia,Kenya,Kenya
Kiribati,Kiribati,Kiribati,Kiribati,Kiribati
Kosovo,Kosovo,Kosovo,Kosovo,Kosovo
Kuwait,Kuwait,Kuwait,Koweït,Kuwait
Kyrgyzstan,Kirgisistan,Kirguistán,Kirghizistan,Kirgisistan
Labrador Sea,Labradorsee,Mar de Labrador,Mer du Labrador,Labradorsjøen
Laos,Laos,Laos,Laos,Laos
Latvia,Lettland,Letonia,Lettonie,Latvia
Lebanon,Libanon,Líbano,Liban,Libanon
Lesotho,Lesotho,Lesoto,Lesotho,Lesotho
Liberia,Liberia,Liberia,Liberia,Liberia
Libya,Libyen,Libia,Libye,Libya
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Litauen,Lituania,Lituanie,Litauen
Luxembourg,Luxemburg,Luxemburgo,Luxembourg,Luxembourg
Macau,Macau,Macao,Macao,Macao
Madagascar,Madagaskar,Madagascar,Madagascar,Madagaskar
Madeira,Autonome Region Madeira,Madeira,Madère,Madeira
Malawi,Malawi,Malaui,Malawi,Malawi
Malaysia,Malaysia,Malasia,Malaisie,Malaysia
Maldives,Malediven,Maldivas,Maldives,Maldivene
Mali,Mali,Malí,Mali,Mali
Malta,Malta,Malta,Malte,Malta
Marshall Islands,Marshallinseln,Islas Marshall,Îles Marshall,Marshalløyene
Martinique,Martinique,Martinica,Martinique,Martinique
Mauritania,Mauretanien,Mauritania,Mauritanie,Mauritania
Mauritius,Mauritius,Mauricio,Maurice,Mauritius
Mayotte,Mayotte,Mayotte,Mayotte,Mayotte
Mediterranean Sea,Mittelmeer,Mar Mediterráneo,Mer Méditerranée,Middelhavet
Melanesia,Melanesien,Melanesia,Mélanésie,Melanesia
Mexico,Mexiko,México,Mexique,Mexico
Micronesia,Mikronesien,Micronesia,Micronésie,Mikronesia
Moldova,Republik Moldau,Moldavia,Moldavie,Moldova
Monaco,Monaco,Mónaco,Monaco,Monaco
Mongolia,Mongolei,Mongolia,Mongolie,Mongolia
Montenegro,Montenegro,Montenegro,Monténégro,Montenegro
Morocco,Marokko,Marruecos,Maroc,Marokko
Mozambique,Mosambik,Mozambique,Mozambique,Mosambik
Myanmar,Myanmar,Birmania,Birmanie,Myanmar
Namibia,Namibia,Namibia,Namibie,Namibia
Nauru,Nauru,Nauru,Nauru,Nauru
Nepal,Nepal,Nepal,Népal,Nepal
Netherlands,Niederlande,Países Bajos,Pays-Bas,Nederland
New Caledonia,Neukaledonien,Nueva Caledonia,Nouvelle-Calédonie,Ny-Caledonia
New Zealand,Neuseeland,Nueva Zelanda,Nouvelle-Zélande,New Zealand
Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Níger,Niger,Niger
Nigeria,Nigeria,Nigeria,Nigeria,Nigeria
Niue,Niue,Niue,Niue,Niue
North America,Nordamerika,América del Norte,Amérique du Nord,Nord-Amerika
North Korea,Nordkorea,Corea del Norte,Corée du Nord,Nord-Korea
North Macedonia,Nordmazedonien,Macedonia del Norte,Macédoine du Nord,Nord-Makedonia
Northern Cyprus,Nordzypern,Chipre del Norte,Chypre du Nord,Nord-Kypros
Northern Ireland,Nordirland,Irlanda del Norte,Irlande du Nord,Nord-Irland
Northern Mariana Islands,Nördliche Marianen,Islas Marianas del Norte,Îles Mariannes du Nord,Nord-Marianene
Norway,Norwegen,Noruega,Norvège,Norge
Norwegian Sea,Europäisches Nordmeer,Mar de Noruega,Mer de Norvège,Norskehavet
Oman,Oman,Omán,Oman,Oman
Pacific Ocean,Pazifischer Ozean,Océano Pacífico,Océan Pacifique,Stillehavet
Pakistan,Pakistan,Pakistán,Pakistan,Pakistan
Palau,Palau,Palaos,Palaos,Palau
Palestine,Palästina,Palestina,Palestine,Palestina
Panama,Panama,Panamá,Panama,Panama
Papua New Guinea,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,Papua Ny-Guinea
Paraguay,Paraguay,Paraguay,Paraguay,Paraguay
Persian Gulf,Persischer Golf,Golfo Pérsico,Golfe Persique,Persiabukta
Peru,Peru,Perú,Pérou,Peru
Philippine Sea,Philippinensee,Mar de Filipinas,Mer des Philippines,Filippinerhavet
Philippines,Philippinen,Filipinas,Philippines,Filippinene
Poland,Polen,Polonia,Pologne,Polen
Polynesia,Polynesien,Polinesia,Polynésie,Polynesia
Portugal,Portugal,Portugal,Portugal,Portugal
Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,Puerto Rico
Qatar,Katar,Catar,Qatar,Qatar
Red Sea,Rotes Meer,Mar Rojo,Mer Rouge,Rødehavet
Republic of Artsakh,Republik Arzach,República de Artsaj,Haut-Karabagh,Nagorno-Karabakh
Republic of the Congo,Republik Kongo,República del Congo,République du Congo,Kongo-Brazzaville
Romania,Rumänien,Rumania,Roumanie,Romania
Russia,Russland,Rusia,Russie,Russland
Rwanda,Ruanda,Ruanda,Rwanda,Rwanda
Réunion,La Réunion,Reunión,La Réunion,Réunion
Sahrawi Arab Democratic Republic,Demokratische Arabische Republik Sahara (DARS),República Árabe Saharaui Democrática,République arabe sahraouie démocratique,Vest-Sahara
Saint Kitts and Nevis,St. Kitts und Nevis,San Cristóbal y Nieves,Saint-Christophe-et-Niévès,Saint Kitts og Nevis
Saint Lucia,St. Lucia,Santa Lucía,Sainte-Lucie,Saint Lucia
Saint Martin,Saint-Martin,San Martín (Francia),Saint-Martin (Antilles françaises),Saint-Martin
Saint Vincent and the Grenadines,St. Vincent und die Grenadinen,San Vicente y las Granadinas,Saint-Vincent-et-les-Grenadines,Saint Vincent og Grenadinene
Samoa,Samoa,Samoa,Samoa,Samoa
San Marino,San Marino,San Marino,Saint-Marin,San Marino
Sardinia,Sardinien,Cerdeña,Sardaigne,Sardinia
Saudi Arabia,Saudi-Arabien,Arabia Saudita,Arabie saoudite,Saudi-Arabia
Scandinavia,Skandinavien,Escandinavia,Scandinavie,Skandinavia og Norden
Scotland,Schottland,Escocia,Écosse,Skottland
Sea of Galilee,See Genezareth,Mar de Galilea,Lac de Tibériade,Gennesaretsjøen
Sea of Japan,Japanisches Meer,Mar del Japón,Mer du Japon,Japanhavet
Senegal,Senegal,Senegal,Sénégal,Senegal
Serbia,Serbien,Serbia,Serbie,Serbia
Seychelles,Seychellen,Seychelles,Seychelles,Seychellene
Sicily,Sizilien,Sicilia,Sicile,Sicilia
Sierra Leone,Sierra Leone,Sierra Leona,Sierra Leone,Sierra Leone
Singapore,Singapur,Singapur,Singapour,Singapore
Sint Maarten,Sint Maarten,San Martín (Países Bajos),Saint-Martin (royaume des Pays-Bas),Sint Maarten
Slovakia,Slowakei,Eslovaquia,Slovaquie,Slovakia
Slovenia,Slowenien,Eslovenia,Slovénie,Slovenia
Solomon Islands,Salomonen,Islas Salomón,Îles Salomon,Salomonøyene
Somalia,Somalia,Somalia,Somalie,Somalia
Somaliland,Somaliland,Somalilandia,Somaliland,Somaliland
South Africa,Südafrika,Sudáfrica,Afrique du Sud,Sør-Afrika
South America,Südamerika,América del Sur,Amérique du Sud,Sør-Amerika
South China Sea,Südchinesisches Meer,Mar de la China Meridional,Mer de Chine méridionale,Sør-Kina-havet
South Korea,Südkorea,Corea del Sur,Corée du Sud,Sør-Korea
South Ossetia,Südossetien,Osetia del Sur,Ossétie du Sud-Alanie,Sør-Ossetia
South Sudan,Südsudan,Sudán del Sur,Soudan du Sud,Sør-Sudan
Southern Ocean,Südlicher Ozean,Océano Antártico,Océan Austral,Sørishavet
Spain,Spanien,España,Espagne,Spania
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Sudan,Sudán,Soudan,Sudan
Sumatra,Sumatra,Sumatra,Sumatra,Sumatra
Suriname,Suriname,Surinam,Suriname,Surinam
Svalbard,Spitzbergen,Svalbard,Svalbard,Svalbard
Sweden,Schweden,Suecia,Suède,Sverige
Switzerland,Schweiz,Suiza,Suisse,Sveits
Syria,Syrien,Siria,Syrie,Syria
São Tomé and Príncipe,São Tomé und Príncipe,Santo Tomé y Príncipe,Sao Tomé-et-Principe,São Tomé og Príncipe
Taiwan,Taiwan,Taiwán,Taïwan,Taiwan
Tajikistan,Tadschikistan,Tayikistán,Tadjikistan,Tadsjikistan
Tanzania,Tansania,Tanzania,Tanzanie,Tanzania
Tasman Sea,Tasmansee,Mar de Tasmania,Mer de Tasman,Tasmanhavet
Thailand,Thailand,Tailandia,Thaïlande,Thailand
The Bahamas,Bahamas,Bahamas,Bahamas,Bahamas
The Gambia,Gambia,Gambia,Gambie,Gambia
Togo,Togo,Togo,Togo,Togo
Tonga,Tonga,Tonga,Tonga,Tonga
Transnistria,Transnistrien,Transnistria,Transnistrie,Transnistria
Trinidad and Tobago,Trinidad und Tobago,Trinidad y Tobago,Trinité-et-Tobago,Trinidad og Tobago
Tunisia,Tunesien,Túnez,Tunisie,Tunisia
Turkey,Türkei,Turquía,Turquie,Tyrkia
Turkmenistan,Turkmenistan,Turkmenistán,Turkménistan,Turkmenistan
Turks and Caicos Islands,Turks- und Caicosinseln,Islas Turcas y Caicos,Îles Turques-et-Caïques,Turks- og Caicosøyene
Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda,Ouganda,Uganda
Ukraine,Ukraine,Ucrania,Ukraine,Ukraina
United Arab Emirates,Vereinigte Arabische Emirate,Emiratos Árabes Unidos,Émirats arabes unis,De forente arabiske emirater
United Kingdom,Vereinigtes Königreich,Reino Unido,Royaume-Uni,Storbritannia
United States of America,Vereinigte Staaten von Amerika,Estados Unidos,États-Unis,USA
United States Virgin Islands,Amerikanische Jungferninseln,Islas Vírgenes de los Estados Unidos,Îles Vierges des États-Unis,De amerikanske Jomfruøyer
Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
Uzbekistan,Usbekistan,Uzbekistán,Ouzbékistan,Usbekistan
Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
Vatican City,Vatikanstadt,Ciudad del Vaticano,Vatican,Vatikanstaten
Venezuela,Venezuela,Venezuela,Venezuela,Venezuela
Vietnam,Vietnam,Vietnam,Viêt Nam,Vietnam
Wales,Wales,Gales,Pays de Galles,Wales
Wallis and Futuna,Wallis und Futuna,Wallis y Futuna,Wallis-et-Futuna,Wallis og Futuna
White Sea,Weißes Meer,Mar Blanco,Mer Blanche,Kvitsjøen
Yellow Sea,Gelbes Meer,Mar Amarillo,Mer Jaune,Gulehavet
Yemen,Jemen,Yemen,Yémen,Jemen
Zambia,Sambia,Zambia,Zambie,Zambia
Zanzibar,Sansibar,Zanzíbar,Zanzibar,Zanzibar
Zimbabwe,Simbabwe,Zimbabue,Zimbabwe,Zimbabwe
Åland Islands,Åland,Åland,Åland,Åland
