country,country:de,country:es,country:fr,country:nb,country:cs,country:ru,country:nl,country:sv,country:pt,country:zh,country:zh-tw,country:pl,country:it,country:da
Slovakia,Slowakei,Eslovaquia,Slovaquie,Slovakia,Slovensko,Словакия,Slowakije,Slovakien,Eslováquia,斯洛伐克(Slovakia),斯洛伐克 (Slovakia),Słowacja,Slovacchia,Slovakiet
Slovenia,Slowenien,Eslovenia,Slovénie,Slovenia,Slovinsko,Словения,Slovenië,Slovenien,"Eslovênia (BR), Eslovénia (PT)",斯洛文尼亚(Slovenia),斯洛維尼亞 (Slovenia),Słowenia,Slovenia,Slovenien
Spain,Spanien,España,Espagne,Spania,Španělsko,Испания,Spanje,Spanien,Espanha,西班牙(Spain),西班牙 (Spain),Hiszpania,Spagna,Spanien
Sweden,Schweden,Suecia,Suède,Sverige,Švédsko,Швеция,Zweden,Sverige,Suécia,瑞典(Sweden),瑞典 (Sweden),Szwecja,Svezia,Sverige
Switzerland,Schweiz,Suiza,Suisse,Sveits,Švýcarsko,Швейцария,Zwitserland,Schweiz,Suíca,瑞士(Switzerland),瑞士 (Switzerland),Szwajcaria,Svizzera,Schweiz
Turkey,Türkei,Turquía,Turquie,Tyrkia,Turecko,Турция,Turkije,Turkiet,Turquia,土耳其(Turkey),土耳其 (Turkey),Turcja,Turchia,Tyrkiet
Ukraine,Ukraine,Ucrania,Ukraine,Ukraina,Ukrajina,Украина,Oekraïne,Ukraina,Ucrânia,乌克兰(Ukraine),烏克蘭 (Ukraine),Ukraina,Ucraina,Ukraine
Vatican City,Vatikanstadt,Ciudad del Vaticano,Vatican,Vatikanstaten,Vatikán,Ватикан,Vaticaanstad,Vatikanstaten,Vaticano,梵蒂冈(Vatican City),梵蒂岡 (Vatican City),Watykan,Città del Vaticano,Vatikanstaten
Armenia,Armenien,Armenia,Arménie,Armenia,Arménie,Армения,Armenië,Armenien,"Armênia (BR), Arménia (PT)",亚美尼亚(Armenia),亞美尼亞 (Armenia),Armenia,Armenia,Armenien
Cyprus,Republik Zypern,Chipre,Chypre,Kypros,Kypr,Кипр,Cyprus,Cypern,Chipre,塞浦路斯(Cyprus),賽普勒斯 (Cyprus),Cypr,Cipro,Cypern
Kazakhstan,Kasachstan,Kazajistán,Kazakhstan,Kasakhstan,Kazachstán,Казахстан,Kazachstan,Kazakstan,Cazaquistão,哈萨克斯坦(Kazakhstan),哈薩克 (Kazakhstan),Kazachstan,Kazakistan,Kasakhstan
Egypt,Ägypten,Egipto,Égypte,Egypt,Egypt,Египет,Egypte,Egypten,"Egito (BR), Egipto (PT)",埃及(Egypt),埃及 (Egypt),Egipt,Egitto,Ægypten
Algeria,Algerien,Argelia,Algérie,Algerie,Alžírsko,Алжир,Algerije,Algeriet,Argélia,阿尔及利亚(Algeria),阿爾巴尼亞 (Algeria),Algieria,Algeria,Algeriet
Angola,Angola,Angola,Angola,Angola,Angola,Ангола,Angola,Angola,Angola,安哥拉(Angola),安哥拉 (Angola),Angola,Angola,Angola
Benin,Benin,Benín,Bénin,Benin,Benin,Бенин,Benin,Benin,Benim,贝宁(Benin),貝南 (Benin),Benin,Benin,Benin
Botswana,Botswana,Botsuana,Botswana,Botswana,Botswana,Ботсвана,Botswana,Botswana,Botsuana,博茨瓦纳(Botswana),波札那 (Botswana),Botswana,Botswana,Botswana
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Буркина-Фасо,Burkina Faso,Burkina Faso,Burquina Fasso,布基纳法索(Burkina Faso),布吉納法索 (Burkina Faso),Burkina Faso,Burkina Faso,Burkina Faso
Cameroon,Kamerun,Camerún,Cameroun,Kamerun,Kamerun,Камерун,Kameroen,Kamerun,Camarões,喀麦隆(Cameroon),喀麥隆共和國 (Cameroon),Kamerun,Camerun,Cameroun
Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Бурунди,Burundi,Burundi,Burundi,布隆迪(Burundi),蒲隆地共和國 (Burundi),Burundi,Burundi,Burundi
Cape Verde,Kap Verde,Cabo Verde,Cap-Vert,Kapp Verde,Kapverdy,Кабо-Верде,Kaapverdië,Kap Verde,Cabo Verde,佛得角(Cape Verde),維德角共和國 (Cape Verde),Republika Zielonego Przylądka,Capo Verde,Kap Verde
São Tomé and Príncipe,São Tomé und Príncipe,Santo Tomé y Príncipe,Sao Tomé-et-Principe,São Tomé og Príncipe,Svatý Tomáš a Princův ostrov,Сан-Томе и Принсипи,Sao Tomé en Principe,São Tomé och Príncipe,São Tomé e Príncipe,圣多美和普林西比(São Tomé and Príncipe),聖多美普林西比民主共和國 (São Tomé and Príncipe),Wyspy Świętego Tomasza i Książęca,São Tomé e Príncipe,São Tomé og Príncipe
Central African Republic,Zentralafrikanische Republik,República Centroafricana,République centrafricaine,Den sentralafrikanske republikk,Středoafrická republika,Центральноафриканская Республика,Centraal-Afrikaanse Republiek,Centralafrikanska republiken,República Centro-Africana,中非共和国(Central African Republic),中非共和國 (Central African Republic),Republika Środkowoafrykańska,Repubblica Centrafricana,Den Centralafrikanske Republik
Chad,Tschad,Chad,Tchad,Tsjad,Čad,Чад,Tsjaad,Tchad,Chade,乍得(Chad),查德 (Chad),Czad,Ciad,Tchad
Equatorial Guinea,Äquatorialguinea,Guinea Ecuatorial,Guinée équatoriale,Ekvatorial-Guinea,Rovníková Guinea,Экваториальная Гвинея,Equatoriaal-Guinea,Ekvatorialguinea,Guiné Equatorial,赤道几内亚(Equatorial Guinea),赤道幾內亞 (Equatorial Guinea),Gwinea Równikowa,Guinea Equatoriale,Ækvatorialguinea
Kenya,Kenia,Kenia,Kenya,Kenya,Keňa,Кения,Kenia,Kenya,"Quênia (BR), Quénia (PT)",肯尼亚(Kenya),肯亞 (Kenya),Kenia,Kenya,Kenya
Comoros,Komoren,Comoras,Comores,Komorene,Komory,Коморские острова,Comoren,Komorerna,Comores,科摩罗(Comoros),葛摩聯盟 (Comoros),Komory,Comore,Comorerne
Ivory Coast,Elfenbeinküste,Costa de Marfil,Côte d'Ivoire,Elfenbenskysten,Pobřeží slonoviny,Кот-д’Ивуар,Ivoorkust,Elfenbenskusten,Costa do Marfim,科特迪瓦(Ivory Coast),象牙海岸 (Ivory Coast),Wybrzeże Kości Słoniowej,Costa d'Avorio,Elfenbenskysten
Democratic Republic of the Congo,Demokratische Republik Kongo,República Democrática del Congo,République démocratique du Congo,Kongo,Konžská demokratická republika,Демократическая Республика Конго,Democratische Republiek Congo,Kongo-Kinshasa,República Democrática do Congo,刚果民主共和国(Democratic Republic of the Congo),剛果民主共和國 (Democratic Republic of the Congo),Demokratyczna Republika Konga,Repubblica Democratica del Congo,Den Demokratiske Republik Congo
Djibouti,Dschibuti,Yibuti,Djibouti,Djibouti,Džibutsko,Джибути,Djibouti,Djibouti,"Djibuti (BR), Jibuti (PT)",吉布提(Djibouti),吉布地共和國 (Djibouti),Dżibuti,Gibuti,Djibouti
Guinea-Bissau,Guinea-Bissau,Guinea-Bisáu,Guinée-Bissau,Guinea-Bissau,Guinea-Bissau,Гвинея-Бисау,Guinee-Bissau,Guinea-Bissau,Guiné-Bissau,几内亚比绍(Guinea-Bissau),幾內亞比索共和國 (Guinea-Bissau),Gwinea Bissau,Guinea-Bissau,Guinea-Bissau
Eritrea,Eritrea,Eritrea,Érythrée,Eritrea,Eritrea,Эритрея,Eritrea,Eritrea,Eritreia,厄立特里亚(Eritrea),厄利垂亞 (Eritrea),Erytrea,Eritrea,Eritrea
Ethiopia,Äthiopien,Etiopía,Éthiopie,Etiopia,Etiopie,Эфиопия,Ethiopië,Etiopien,Etiópia,埃塞俄比亚(Ethiopia),衣索比亞 (Ethiopia),Etiopia,Etiopia,Etiopien
Gabon,Gabun,Gabón,Gabon,Gabon,Gabon,Габон,Gabon,Gabon,Gabão,加蓬(Gabon),加彭共和國 (Gabon),Gabon,Gabon,Gabon
The Gambia,Gambia,Gambia,Gambie,Gambia,Gambie,Гамбия,Gambia,Gambia,Gâmbia,冈比亚(The Gambia),甘比亞共和國 (The Gambia),Gambia,Gambia,Gambia
Lesotho,Lesotho,Lesoto,Lesotho,Lesotho,Lesotho,Лесото,Lesotho,Lesotho,Lesoto,莱索托(Lesotho),賴索托 (Lesotho),Lesotho,Lesotho,Lesotho
Liberia,Liberia,Liberia,Liberia,Liberia,Libérie,Либерия,Liberia,Liberia,Libéria,利比里亚(Liberia),賴比瑞亞共和國 (Liberia),Liberia,Liberia,Liberia
Madagascar,Madagaskar,Madagascar,Madagascar,Madagaskar,Madagascar,Мадагаскар,Madagaskar,Madagaskar,Madagascar,马达加斯加(Madagascar),馬達加斯加 (Madagascar),Madagaskar,Madagascar,Madagaskar
Malawi,Malawi,Malaui,Malawi,Malawi,Malawi,Малави,Malawi,Malawi,Maláui,马拉维(Malawi),馬拉威共和國 (Malawi),Malawi,Malawi,Malawi
Mali,Mali,Malí,Mali,Mali,Mali,Мали,Mali,Mali,Mali,马里(Mali),馬利 (Mali),Mali,Mali,Mali
Mauritania,Mauretanien,Mauritania,Mauritanie,Mauritania,Mauritánie,Мавритания,Mauritanië,Mauretanien,Mauritânia,毛里塔尼亚(Mauritania),茅利塔尼亞伊斯蘭共和國 (Mauritania),Mauretania,Mauritania,Mauretanien
Mauritius,Mauritius,Mauricio,Maurice,Mauritius,Mauricius,Маврикий,Mauritius,Mauritius,"Maurício (BR), Maurícia (PT)",毛里求斯(Mauritius),模里西斯共和國 (Mauritius),Mauritius,Mauritius,Mauritius
Morocco,Marokko,Marruecos,Maroc,Marokko,Maroko,Марокко,Marokko,Marocko,Marrocos,摩洛哥(Morocco),摩洛哥 (Morocco),Maroko,Marocco,Marokko
Mozambique,Mosambik,Mozambique,Mozambique,Mosambik,Mosambik,Мозамбик,Mozambique,Moçambique,Moçambique,莫桑比克(Mozambique),莫三比克共和國 (Mozambique),Mozambik,Mozambico,Mozambique
Namibia,Namibia,Namibia,Namibie,Namibia,Namibie,Намибия,Namibië,Namibia,Namíbia,纳米比亚(Namibia),納米比亞共和國 (Namibia),Namibia,Namibia,Namibia
Niger,Niger,Níger,Niger,Niger,Niger,Нигер,Niger,Niger,Níger,尼日尔(Niger),尼日 (Niger),Niger,Niger,Niger
Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigérie,Нигерия,Nigeria,Nigeria,Nigéria,尼日利亚(Nigeria),奈及利亞 (Nigeria),Nigeria,Nigeria,Nigeria
Republic of the Congo,Republik Kongo,República del Congo,République du Congo,Kongo-Brazzaville,Konžská republika,Республика Конго,Congo,Kongo-Brazzaville,Congo,刚果共和国(Republic of the Congo),剛果共和國 (Republic of the Congo),Kongo,Repubblica del Congo,Republikken Congo
Rwanda,Ruanda,Ruanda,Rwanda,Rwanda,Rwanda,Руанда,Rwanda,Rwanda,Ruanda,卢旺达(Rwanda),盧安達 (Rwanda),Rwanda,Ruanda,Rwanda
Senegal,Senegal,Senegal,Sénégal,Senegal,Senegal,Сенегал,Senegal,Senegal,Senegal,塞内加尔(Senegal),塞內加爾 (Senegal),Senegal,Senegal,Senegal
Seychelles,Seychellen,Seychelles,Seychelles,Seychellene,Seychely,Сейшельские острова,Seychellen,Seychellerna,Seicheles,塞舌尔(Seychelles),塞席爾共和國 (Seychelles),Seszele,Seychelles,Seychellerne
Sierra Leone,Sierra Leone,Sierra Leona,Sierra Leone,Sierra Leone,Sierra Leone,Сьерра-Леоне,Sierra Leone,Sierra Leone,Serra Leoa,塞拉利昂(Sierra Leone),獅子山 (Sierra Leone),Sierra Leone,Sierra Leone,Sierra Leone
South Africa,Südafrika,Sudáfrica,Afrique du Sud,Sør-Afrika,Jihoafrická republika,Южно-Африканская Республика,Zuid-Afrika,Sydafrika,África do Sul,南非(South Africa),南非 (South Africa),Południowa Afryka,Sudafrica,Sydafrika
Sudan,Sudan,Sudán,Soudan,Sudan,Súdán,Судан,Soedan,Sudan,Sudão,苏丹(Sudan),蘇丹 (Sudan),Sudan,Sudan,Sudan
Eswatini,Eswatini,Suazilandia,Eswatini,Eswatini,Svazijsko,Эсватини,Eswatini,Swaziland,Essuatíni,埃斯瓦蒂尼(Eswatini),史瓦帝尼 (Eswatini),Eswatini,eSwatini,Eswatini
Tanzania,Tansania,Tanzania,Tanzanie,Tanzania,Tanzanie,Танзания,Tanzania,Tanzania,Tanzânia,坦桑尼亚(Tanzania),坦尚尼亞 (Tanzania),Tanzania,Tanzania,Tanzania
Togo,Togo,Togo,Togo,Togo,Togo,Того,Togo,Togo,Togo,多哥(Togo),多哥 (Togo),Togo,Togo,Togo
Tunisia,Tunesien,Túnez,Tunisie,Tunisia,Tunisko,Тунис,Tunesië,Tunisien,Tunísia,突尼斯(Tunisia),突尼西亞 (Tunisia),Tunezja,Tunisia,Tunesien
Uganda,Uganda,Uganda,Ouganda,Uganda,Uganda,Уганда,Oeganda,Uganda,Uganda,乌干达(Uganda),烏干達 (Uganda),Uganda,Uganda,Uganda
Sahrawi Arab Democratic Republic,Demokratische Arabische Republik Sahara,República Árabe Saharaui Democrática,République arabe sahraouie démocratique,Vest-Sahara,Saharská arabská demokratická republika,Сахарская Арабская Демократическая Республика,Sahrawi Arabische Democratische Republiek,Sahariska arabiska demokratiska republiken,República Árabe Saaraui Democrática (RASD),阿拉伯撒哈拉民主共和国(Sahrawi Arab Democratic Republic),撒拉威阿拉伯民主共和國(西薩哈拉) (Sahrawi Arab Democratic Republic),Sahara Zachodnia,Repubblica Democratica Araba dei Sahrawi,Vestsahara
Zambia,Sambia,Zambia,Zambie,Zambia,Zambie,Замбия,Zambia,Zambia,Zâmbia,赞比亚(Zambia),桑比亞 (Zambia),Zambia,Zambia,Zambia
Zimbabwe,Simbabwe,Zimbabue,Zimbabwe,Zimbabwe,Zimbabwe,Зимбабве,Zimbabwe,Zimbabwe,Zimbábue,津巴布韦(Zimbabwe),辛巴威 (Zimbabwe),Zimbabwe,Zimbabwe,Zimbabwe
Canary Islands,Kanarische Inseln,Canarias,Îles Canaries,Kanariøyene,Kanárské ostrovy,Канарские Острова,Canarische Eilanden,Kanarieöarna,Ilhas Canárias,加那利群岛(Canary Islands),加納利群島 (Canary Islands),Wyspy Kanaryjskie,Isole Canarie,De Kanariske Øer
Afghanistan,Afghanistan,Afganistán,Afghanistan,Afghanistan,Afghánistán,Афганистан,Afghanistan,Afghanistan,Afeganistão,阿富汗(Afghanistan),阿富汗 (Afghanistan),Afganistan,Afghanistan,Afghanistan
Bahrain,Bahrain,Baréin,Bahreïn,Bahrain,Bahrajn,Бахрейн,Bahrein,Bahrain,Barém,巴林(Bahrain),巴林 (Bahrain),Bahrajn,Bahrein,Bahrain
Bangladesh,Bangladesch,Bangladés,Bangladesh,Bangladesh,Bangladéš,Бангладеш,Bangladesh,Bangladesh,Bangladexe,孟加拉国(Bangladesh),孟加拉 (Bangladesh),Bangladesz,Bangladesh,Bangladesh
Bhutan,Bhutan,Bután,Bhoutan,Bhutan,Bhútán,Бутан,Bhutan,Bhutan,Butão,不丹(Bhutan),不丹 (Bhutan),Bhutan,Bhutan,Bhutan
Brunei,Brunei,Brunéi,Brunei,Brunei,Brunej,Бруней,Brunei,Brunei,Brunei,文莱(Brunei),汶萊 (Brunei),Brunei,Brunei,Brunei
China,Volksrepublik China,China,Chine,Kina,Čína,Китай,China,Kina,China,中国(China),中國 (China),Chiny,Cina,Kina
Cambodia,Kambodscha,Camboya,Cambodge,Kambodsja,Kambodža,Камбоджа,Cambodja,Kambodja,Camboja,柬埔寨(Cambodia),柬埔寨 (Cambodia),Kambodża,Cambogia,Cambodja
Indonesia,Indonesien,Indonesia,Indonésie,Indonesia,Indonésie,Индонезия,Indonesië,Indonesien,Indonésia,印度尼西亚(Indonesia),印度尼西亞(印尼) (Indonesia),Indonezja,Indonesia,Indonesien
India,Indien,India,Inde,India,Indie,Индия,India,Indien,Índia,印度(India),印度 (India),Indie,India,Indien
Hong Kong,Hongkong,Hong Kong,Hong Kong,Hongkong,Hongkong,Гонконг,Hongkong,Hongkong,Hong Kong,香港(Hong Kong),香港 (Hong Kong),Hongkong,Hong Kong,HongKong
Iran,Iran,Irán,Iran,Iran,Írán,Иран,Iran,Iran,"Irã (BR), Irão (PT)",伊朗(Iran),伊朗 (Iran),Iran,Iran,Iran
Israel,Israel,Israel,Israël,Israel,Izrael,Израиль,Israël,Israel,Israel,以色列(Israel),以色列 (Israel),Izrael,Israele,Israel
Iraq,Irak,Irak,Irak,Irak,Irák,Ирак,Irak,Irak,Iraque,伊拉克(Iraq),伊拉克 (Iraq),Irak,Iraq,Irak
South Korea,Südkorea,Corea del Sur,Corée du Sud,Sør-Korea,Jižní Korea,Южная Корея,Zuid-Korea,Sydkorea,Coreia do Sul,韩国(South Korea),韓國(南韓) (South Korea),Korea Południowa,Corea del Sud,Sydkorea
North Korea,Nordkorea,Corea del Norte,Corée du Nord,Nord-Korea,Severní Korea,Северная Корея,Noord-Korea,Nordkorea,Coreia do Norte,朝鲜(North Korea),北韓 (North Korea),Korea Północna,Corea del Nord,Nordkorea
Jordan,Jordanien,Jordania,Jordanie,Jordan,Jordánsko,Иордания,Jordanië,Jordanien,Jordânia,约旦(Jordan),約旦 (Jordan),Jordania,Giordania,Jordan
Japan,Japan,Japón,Japon,Japan,Japonsko,Япония,Japan,Japan,Japão,日本(Japan),日本 (Japan),Japonia,Giappone,Japan
Lebanon,Libanon,Líbano,Liban,Libanon,Libanon,Ливан,Libanon,Libanon,Líbano,黎巴嫩(Lebanon),黎巴嫩 (Lebanon),Liban,Libano,Libanon
Laos,Laos,Laos,Laos,Laos,Laos,Лаос,Laos,Laos,Laos,老挝(Laos),寮國 (Laos),Laos,Laos,Laos
Kyrgyzstan,Kirgisistan,Kirguistán,Kirghizistan,Kirgisistan,Kyrgyzstán,Киргизия,Kirgizië,Kirgizistan,Quirguistão,吉尔吉斯斯坦(Kyrgyzstan),吉爾吉斯 (Kyrgyzstan),Kirgistan,Kirghizistan,Kirgisistan
Kuwait,Kuwait,Kuwait,Koweït,Kuwait,Kuvajt,Кувейт,Koeweit,Kuwait,Kuwait,科威特(Kuwait),科威特 (Kuwait),Kuwejt,Kuwait,Kuwait
Myanmar,Myanmar,Birmania,Birmanie,Myanmar,Myanmar,Мьянма,Myanmar,Myanmar,Mianmar,缅甸(Myanmar),緬甸 (Myanmar),Mjanma,Birmania,Myanmar
