country,flag similarity,flag similarity:de,flag similarity:es,flag similarity:fr,flag similarity:nb,flag similarity:cs,flag similarity:ru,flag similarity:nl,flag similarity:sv,flag similarity:pt,flag similarity:zh,flag similarity:zh-tw,flag similarity:pl,flag similarity:it,flag similarity:da
Egypt,"Iraq (text instead of emblem), Yemen (no emblem)","Irak (Text anstatt Emblem), Jemen (kein Emblem)","Irak (texto en lugar de escudo), Yemen (sin escudo)","Irak (texte à la place de l'emblème), Yémen (pas d'emblème)","Jemen (blank midstripe), Irak (tekst)","Irák (text místo emblému), Jemen (bez emblému)","Ирак (текст вместо эмблемы), Йемен (без эмблемы)","Irak (tekst in plaats van embleem), Jemen (geen embleem)","Irak (text istället för statsvapen), Jemen (inget statsvapen)",Iraque (texto em vez de emblema) e Iêmen (sem emblema),伊拉克(文字代替徽记)、也门(无徽记),伊拉克(文字、無徽章)、葉門(無徽章),"Irak (napis zamiast godła), Jemen (brak godła)","Iraq (testo al posto dell'emblema), Yemen (senza emblema)","Irak (tekst i stedet for emblem), Yemen (intet emblem)"
Cameroon,"Senegal (green/yellow/red, green star)","Senegal (Grün/Gelb/Rot, grüner Stern)","Senegal (verde/amarillo/rojo, estrella verde)","Sénégal (vert/jaune/rouge, étoile verte)","Senegal (grønn/gul/rød, grønn stjerne)","Senegal (zelená/žlutá/červená, zelená hvězda)","Сенегал (зеленый/желтый/красный, зеленая звезда)","Senegal (groen/geel/rood, groene ster)","Senegal (grön/gul/röd, grön stjärna)","Senegal (verde/amarelo/vermelho, estrela verde)",塞内加尔(绿/黄/红，绿星),塞內加爾(綠黃紅、綠色星星),"Senegal (zielono-żółto-czerwona, zielona gwiazda)","Senegal (verde/giallo/rosso, stella verde)","Senegal (grøn/gul/rød, grøn stjerne)"
Chad,Romania (slightly lighter blue),Rumänien (etwas helleres Blau),Rumania (azul ligeramente más claro),Roumanie (bleu légèrement plus clair),Romania (noe lysere blå),Rumunsko (mírně světlejší modrá),Румыния (немного светлее синего цвета),Roemenië (lichter blauw),Rumänien (aningen ljusare blå),Romênia (azul ligeiramente mais claro),罗马尼亚(略浅蓝色),羅馬尼亞(稍微淺藍),Rumunia (lekko jaśniejszy niebieski),Romania (blu leggermente più chiaro),Rumænien (lidt lysere blå)
Ivory Coast,"Ireland (orange and green flipped, wider)","Irland (Orange und Grün vertauscht, breiter)","Irlanda (naranja y verde intercambiados, más ancha)","Irlande (orange et vert inversés, plus large)","Ireland (byttet plass på oransje og grønt, bredere)","Irsko (prohozená oranžová a zelená, širší)","Ирландия (оранжево - зеленый перевернутый, шире)","Ierland (oranje en groen omgekeerd, breder)","Irland (orange och grön växlade, bredare)","Irlanda (laranja e verde invertidos, mais larga)",爱尔兰(橙色和绿色翻转，更宽),愛爾蘭(橘綠對調、更寬),"Irlandia (zamieniona pomarańcz i zieleń, szersza)","Irlanda (arancione e verde invertiti, più larga)","Irland (orange og grøn byttet rundt, bredere)"
Mali,"Guinea (green and red flipped, slightly darker green)","Guinea (Grün und Rot vertauscht, etwas dunkleres Grün)","Guinea (verde y rojo intercambiados, verde ligeramente más oscuro)","Guinée (vert et rouge inversés, vert légèrement plus foncé)","Guinea (byttet plass på grønt og rødt, noe mørkere grønnfarge)","Guinea (prohozená zelená a červená, mírně tmavší zelená)","Гвинея (зеленая и красная перевернутая, чуть более темно-зеленая)","Guinee (groen en rood omgekeerd, donkerder groen)","Guinea (grön och röd växlade, aningen mörkare grön)","Guiné (verde e vermelho invertidos, verde ligeiramente mais escuro)",几内亚(绿色和红色翻转，绿色略深),圭亞那(綠紅對調、稍微深綠),"Gwinea (zamieniona zieleń i czerwień, lekko ciemniejsza zieleń)","Guinea (verde e rosso invertiti, verde leggermente più scuro)","Guinea (grøn og rød byttet rundt, lidt mørkere grøn)"
Senegal,"Cameroon (green/red/yellow, yellow star)","Kamerun (Grün/Rot/Gelb, gelber Stern)","Camerún (verde/rojo/amarillo, estrella amarilla)","Cameroun (vert/rouge/jaune, étoile jaune)","Kamerun (grønn/rød/gul, gul stjerne)","Kamerun (zelená/červená/žlutá, žlutá hvězda)","Камерун (зеленый/красный/желтый, желтая звезда)","Kameroen (groen/rood/geel, gele ster)","Kamerun (grön/röd/gul, gul stjärna)","Camarões (verde/vermelho/amarelo, estrela amarela)",喀麦隆(绿/红/黄，黄星),喀麥隆(綠紅黃、黃色星星),"Kamerun (zielono-czerwono-żółta, żółta gwiazda)","Camerun (verde/rosso/giallo, stella gialla)","Cameroun (grøn/rød/gul, gul stjerne)"
Sudan,"Palestine (black/white/green, red arrow)","Palästina (Schwarz/Weiß/Grün, roter Pfeil)","Palestina (negro/blanco/verde, triángulo rojo)","Palestine (noir/blanc/vert, flèche rouge)","Palestina (svart/hvit/grønn, rød trekant)","Stát Palestina (černá/bílá/zelená, červená šipka)","Палестина (черный/белый/зеленый, красная стрелка)","Palestina (zwart/wit/groen, rode pijl)","Palestina (svart/vit/grön, röd triangel)","Palestina (preto/branco/verde, seta vermelha)",巴勒斯坦(黑/白/绿，红色箭头),巴勒斯坦(黑白綠、紅色箭頭),"Palestyna (czarno-biało-zielona, czerwony trójkąt)","Palestina (nero/bianco/verde, triangolo rosso)","Palæstina (sort/hvid/grøn, rød pil)"
Bahrain,"Qatar (wider, more serrated edges, maroon)","Katar (breiter, mehr kleinere Zacken, rotbraun)","Catar (más ancha, dientes más serrados, granate)","Qatar (séparation plus large et dentelée, pourpre/marron)","Qatar (bredere, flere tagger og jordbrun farge)","Katar (širší, větší počet zoubků, tmavší červená)","Катар (более широкий, с более зазубренными краями, темно-бордовый)","Qatar (breder, meer gekartelde randen, kastanjebruin)","Qatar (bredare, fler tänder, rödbrun)","Catar (mais larga, bordas serrilhadas, marrom)",卡塔尔(更宽，锯齿状边缘，栗色),卡達(更寬、更多鋸齒狀邊緣、栗紅色),"Katar (szersza, więcej klinów, koloru bordowego)","Qatar (più larga, più bordi seghettati, rosso granata)","Qatar (bredere, flere takkede kanter, kastanjabrun)"
Indonesia,"Monaco (narrower, darker red), Poland (red and white flipped, darker red)","Monaco (schmaler, dunkleres rot), Polen (Rot und Weiß vertauscht, dunkleres rot)","Mónaco (más estrecha, rojo más oscuro), Polonia (rojo y blanco intercambiados, rojo más oscuro)","Monaco (plus étroit, rouge plus foncé), Pologne (rouge et blanc inversés, rouge plus foncé)","Monaco (smalere, mørkere rød), Polen (rødt og hvitt byttet, mørkere rød)","Monaco (užší, tmavší červená), Polsko (prohozená červená a bílá, tmavší červená)","Монако (более узкий, темно-красный), Польша (красно-белый перевернутый, темно-красный)","Monaco (smaller, donkerder rood), Polen (rood en wit omgekeerd, donkerder rood)","Monaco (smalare, mörkare röd), Polen (röd och vit växlade, mörkare röd)","Mônaco (mais estreita, vermelho mais escuro) e Polônia (vermelho e branco invertidos, vermelho mais escuro)",摩纳哥(更窄，红色更深)，波兰(红白翻转，红色更深),摩納哥(更窄、更深紅)、波蘭(紅白對調、更深紅),"Monako (węższa, ciemniejsza czerwień), Polska (zamieniona czerwień i biel, ciemniejsza czerwień)","Monaco (più stretta, rosso più scuro), Polonia (rosso e bianco invertiti, rosso più scuro)","Monaco (smallere, mørkere rød), Polen (rød og hvid byttet rundt, mørkere rød)"
Iraq,"Egypt (emblem instead of text), Yemen (no text)","Ägypten (Emblem statt Text), Jemen (kein Text)","Egipto (escudo en lugar del texto), Yemen (sin texto)","Égypte (emblème à la place du texte), Yémen (pas de texte)","Jemen (blank midstripe), Egypt (emblem)","Egypt (emblém místo textu), Yemen (bez textu)","Египет (эмблема вместо текста), Йемен (без текста)","Egypte (embleem in plaats van tekst), Jemen (geen tekst)","Egypten (statsvapen istället för text), Jemen (ingen text)",Egito (emblema em vez de texto) e Iêmen (sem texto),埃及(标志代替文字)、也门(无文字),埃及(徽章、非文字)、葉門(無文字),"Egipt (godło zamiast napisu), Jemen (brak napisu)","Egitto (emblema al posto del testo), Yemen (senza testo)","Ægypten (emblem i stedet for tekst), Yemen (ingen tekst)"
Palestine,"Sudan (red/white/black, green arrow), Sahrawi Arab Democratic Republic (with star and crescent)","Sudan (Rot/Weiß/Schwarz, grüner Pfeil), Demokratische Arabische Republik Sahara (mit Stern und Halbmond)","Sudán (rojo/blanco/negro, triángulo verde), República Árabe Saharaui Democrática (con creciente y estrella)","Soudan (rouge/blanc/noir, flèche verte), République arabe sahraouie démocratique (avec étoile et croissant)","Sudan (rød/hvit/svart, grønn trekant), Vest-Sahara (med stjerne og halvmåne)","Súdán (červená/bílá/černá, zelená šipka), Saharská arabská demokratická republika (s hvězdou a půlměsícem)","Судан (красный/белый/черный, зеленая стрелка), Сахарская Арабская Демократическая Республика (со звезда и полумесяц)","Soedan (rood/wit/zwart, groene pijl), Sahrawi Arabische Democratische Republiek (met wassende maan en ster)","Sudan (röd/vit/svart, grön triangel), Sahariska arabiska demokratiska republiken (med stjärna och halvmåne)","Sudão (vermelho/branco/preto, seta verde) e República Árabe Saaraui Democrática (com estrela e crescente)",苏丹(红/白/黑、绿箭头)、阿拉伯撒哈拉民主共和国(有星形和新月形),蘇丹(紅白黑、綠色箭頭)、西撒哈拉(星星與新月),"Sudan (czerwono-biało-czarna, zielony trójkąt), Sahara Zachodnia (z gwiazdą i półksiężycem)","Sudan (rosso/bianco/nero, triangolo verde), Repubblica Democratica Araba dei Sahrawi (con stella e mezzaluna)","Sudan (rød/hvid/sort, grøn pil), Vestsahara (med stjerne og halvmåne)"
Sahrawi Arab Democratic Republic,Palestine (no symbol),Palästina (kein Symbol),Palestina (sin símbolo),Palestine (pas de symbole),Palestina (uten symbol),Stát Palestina (bez symbol),Палестина (без символа),Palestina (geen symbool),Palestina (ingen symbol),Palestina (sem símbolo),巴勒斯坦(无符号),巴勒斯坦(無標誌),Palestyna (brak symbolu),Palestina (nessun simbolo),Palæstina (intet symbol)
Qatar,"Bahrain (narrower, fewer serrated edges, red)","Bahrain (enger, weniger Zacken, rot)","Baréin (más estrecha, menos dientes de sierra, roja)","Bahreïn (séparation plus étroite et moins dentelée, rouge)","Bahrain (smalere, færre tagger, rødt)","Bahrajn (užší, méně zoubků, červená)","Бахрейн (более узкий, с меньшим количеством зубчатых краев, красный)","Bahrein (smaller, minder gekartelde randen, rood)","Bahrain (smalare, färre tänder, röd)","Barém (mais estreita, menos bordas serrilhadas, vermelha)",巴林(更窄，锯齿边缘更少，红色),巴林(更窄、更少鋸齒狀邊緣、紅色),"Bahrajn (węższa, mniej klinów, czerwona)","Bahrein (più stretta, meno bordi seghettati, rossa)","Bahrain (smallere, færre takkede kanter, rød)"
Yemen,"Egypt (with emblem), Iraq (with text)","Ägypten (mit Emblem), Irak (mit Text)","Egipto (con escudo), Irak (con texto)","Égypte (avec un emblème), Irak (avec du texte)","Egypt (emblem), Irak (tekst)","Egypt (má emblém), Irák (má text)","Египет (с эмблемой), Ирак (с текстом)","Egypte (met embleem), Irak (met tekst)","Egypten (med emblem), Irak (med text)","Egito (com emblema), e Iraque (com texto)",埃及(带徽章)、伊拉克(带文字),埃及(徽章)、伊拉克(文字),"Egipt (godło), Irak (napis)","Egitto (con l'emblema), Iraq (con il testo)","Ægypten (med emblem), Irak (med tekst)"
Australia,"New Zealand (red stars, two fewer stars)","Neuseeland (rote Sterne, zwei Sterne weniger)","Nueva Zelanda (estrellas rojas, dos estrellas menos)","Nouvelle-Zélande (étoiles rouges, deux étoiles de moins)",New Zealand (røde stjerner),"Nový Zéland (červené hvězdy, o dvě hvězdy méně)","Новая Зеландия (красные звезды, на две звезды меньше)","Nieuw-Zeeland (rode sterren, twee sterren minder)","Nya Zeeland (röda stjärnor, två färre stjärnor)","Nova Zelândia (estrelas vermelhas, duas estrelas a menos)",新西兰(红星，少两颗星),紐西蘭(紅色星星、少兩顆星星),"Nowa Zelandia (czerwone gwiazdy, o dwie gwiazdy mniej)","Nuova Zelanda (stelle rosse, due stelle in meno)","New Zealand (røde stjerner, to færre stjerner)"
Bolivia,Ghana (star instead of coat of arms),Ghana (Stern anstatt Wappen),Ghana (estrella en lugar del escudo),Ghana (étoile à la place du blason),Ghana (stjerne i stedet for våpenskjold),Ghana (hvězda místo erbu),Гана (звезда вместо герба),Ghana (ster in plaats van wapen),Ghana (stjärnor istället för vapensköld),Gana (estrela em vez de brasão),加纳(星而不是国徽),迦納(星星、非徽章),Ghana (gwiazdy zamiast godła),Ghana (stella al posto dello stemma),Ghana (stjerner i stedet for våbenskjold)
Colombia,Ecuador (with coat of arms),Ecuador (mit Wappen),Ecuador (con escudo),Équateur (avec blason),Ecuador (med våpenskjold),Ekvádor (s erbem),Эквадор (с гербом),Ecuador (met wapen),Ecuador (med vapensköld),Equador (com brasão),厄瓜多尔(有国徽),厄瓜多(有徽章),Ekwador (godło),Ecuador (con lo stemma),Ecuador (med våbenskjold)
Ecuador,Colombia (no coat of arms),Kolumbien (kein Wappen),Colombia (sin escudo),Colombie (pas de blason),Colombia (uten våpenskjold),Kolumbie (bez erbu),Колумбия (без герба),Colombia (geen wapen),Colombia (ingen vapensköld),Colômbia (sem brasão),哥伦比亚(无国徽),哥倫比亞(無徽章),Kolumbia (brak godła),Colombia (senza stemma),Colombia (intet våbenskjold)
Puerto Rico,"Cuba (red triangle, blue stripes)","Kuba (rotes Dreieck, blaue Streifen)","Cuba (triángulo rojo, bandas azules)","Cuba (triangle rouge, bandes bleues)","Cuba (rød trekant, blå striper)","Kuba (červená šipka, modré pruhy)","Куба (Красный треугольник, синие полосы)","Cuba (rode driehoek, blauwe strepen)","Kuba (röd triangel, blå ränder)","Cuba (triângulo vermelho, listras azuis)",古巴(红三角，蓝条纹),古巴(紅色三角、紅條紋),"Kuba (czerwony trójkąt, niebieskie pasy)","Cuba (triangolo rosso, strisce blu)","Cuba (rød trekant, blå striber)"
Cuba,"Puerto Rico (blue triangle, red stripes)","Puerto Rico (blaues Dreieck, rote Streifen)","Puerto Rico (triángulo azul, bandas rojas)","Porto Rico (triangle bleu, bandes rouges)","Puerto Rico (blå trekant, røde striper)","Puerto Rico (modrá šipka, červené pruhy)","Пуэрто-Рико (синий треугольник, красные полосы)","Puerto Rico (blauwe driehoek, rode strepen)","Puerto Rico (blå triangel, röda ränder)","Porto Rico (triângulo azul, listras vermelhas)",波多黎各(蓝色三角形，红色条纹),波多黎各(藍三角、紅條紋),"Portoryko (niebieski trójkąt, czerwone pasy)","Porto Rico (triangolo blu, strisce rosse)","Puerto Rico (blå trekant, røde striber)"
El Salvador,"Nicaragua (different coat of arms, slightly lighter blue)","Nicaragua (anderes Wappen, etwas helleres Blau)","Nicaragua (escudo diferente, azul ligeramente más claro)","Nicaragua (blason différent, bleu légèrement plus clair)","Nicaragua (annerledes våpenskjold, noe lysere blå)","Nicaragua (jiný erb, mírně světlejší modrá)","Никарагуа (другой герб, немного более светлый синий)","Nicaragua (ander wapen, lichter blauw)","Nicaragua (annan vapensköld, aningen ljusare blå)","Nicarágua (brasão diferente, azul ligeiramente mais claro)",尼加拉瓜(不同的纹章，略浅的蓝色),尼加拉瓜(不同徽章、稍淺藍),"Nikaragua (inne godło, lekko jaśniejszy niebieski)","Nicaragua (stemma diverso, blu leggermente più chiaro)","Nicaragua (forskelligt våbenskjold, lidt lysere blå)"
Nicaragua,"El Salvador (different coat of arms, slightly darker blue)","El Salvador (anderes Wappen, etwas dunkleres Blau)","El Salvador (escudo diferente, azul ligeramente más oscuro)","Salvador (blason différent, bleu légèrement plus foncé)","El Salvador (annerledes våpenskjold, noe mørkere blå)","Salvador (jiný erb, mírně tmavší modrá)","Сальвадор (другой герб, чуть более темно-синий)","El Salvador (ander wapen, donkerder blauw)","El Salvador (annan vapensköld, aningen mörkare blå)","El Salvador (brasão diferente, azul ligeiramente mais escuro)",萨尔瓦多(不同的纹章，略深的蓝色),薩爾瓦多(不同徽章、稍深藍),"Salwador (inne godło, lekko ciemniejszy niebieski)","El Salvador (stemma diverso, blu leggermente più scuro)","El Salvador (forskelligt våbenskjold, lidt mørkere blå)"
Ghana,Bolivia (coat of arms instead of star),Bolivien (Wappen anstatt Stern),Bolivia (escudo en lugar de la estrella),Bolivie (blason à la place de l'étoile),Bolivia (våpenskjold i stedet for stjerne),Bolívie (erb místo hvězdy),Боливия (герб вместо звезды),Bolivia (wapen in plaats van ster),Bolivia (vapensköld istället för stjärna), Bolívia (brasão de armas em vez de estrela),玻利维亚(徽章而不是星形),波利維亞(徽章、非星星),Boliwia (godło zamiast gwiazd),Bolivia (stemma al posto della stella),Bolivia (våbenskjold i stedet for stjerne)
